id	best_100	chosen_value	distance
2323.0	0.64	1.1564971093499834	0.5865051362063607
520.0	0.59	1.1604707142754909	0.5684285105369832
1208.0	0.66	1.1179328484657378	0.7895787243051638
1305.0	0.71	1.1577255538754743	0.9047707986473703
1291.0	0.62	1.134247390604549	0.789708026511341
1372.0	0.64	1.1381295081626845	0.7078458689575042
2224.0	0.69	1.1406570293403144	0.7271415131675323
427.0	0.72	1.0987373493028245	0.7644824315370801
450.0	0.62	1.0916818944514177	1.0074793465547678
2253.0	0.62	1.0900663068545107	0.5429584339832766
970.0	0.68	1.061864670368038	0.9147876688842138
2329.0	0.63	1.0888343430121967	0.75551168283065
907.0	0.69	1.1500383550563429	0.6857215550822526
41.0	0.72	1.0534506261627379	0.6129501795477428
1275.0	0.7	1.0929448843372014	0.9134292685929032
1396.0	0.65	1.0829105077075902	1.109160788736005
36.0	0.63	1.0988249327800237	0.880867023246836
1202.0	0.69	1.1136198170055323	0.7592241934354489
1378.0	0.69	1.0579858131596973	1.02384030277256
183.0	0.73	1.0814862133282148	0.785729678539128
2614.0	0.7	1.0834683644260918	0.673085924777865
1645.0	0.72	1.074911457970824	1.0557978099606273
1632.0	0.65	1.1320684338672806	0.802756428543145
326.0	0.69	1.1017312353203843	0.8995738187866493
2525.0	0.65	1.09657577742219	0.8026820445022533
2552.0	0.63	1.0901160910686856	0.6758625995274334
351.0	0.67	1.057640139559123	0.8815301504756544
2428.0	0.72	1.1089068361248327	0.8822358126415132
1574.0	0.61	1.138242649776176	0.6696778414498947
1503.0	0.63	1.0817635100557754	0.9839420841953287
1959.0	0.66	1.111097361150947	0.8121981807575855
1823.0	0.71	1.0147834944499217	0.879433943112964
1854.0	0.73	1.1061028374256123	0.967698003408504
716.0	0.68	1.0478912224037789	0.6859890007389307
2115.0	0.61	1.1345126785685515	0.6013734758751637
682.0	0.67	0.9644899440701142	0.9522408606987277
2162.0	0.61	1.1621785742117	0.8024297090445459
761.0	0.71	1.0817996121171296	0.7944554129646262
2018.0	0.67	1.1432256371571095	0.8092893386251555
1133.0	0.64	1.0626589914963498	0.9579587428565995
1049.0	0.66	1.1356553905068538	0.6530018862291624
2168.0	0.68	1.0688718711331717	0.9268775302755996
688.0	0.7	1.0622174087100096	0.6197172746522892
666.0	0.71	1.0944499471856042	0.7080731585339404
785.0	0.66	1.1016060170608313	0.7127902683412729
2186.0	0.72	1.1719034702851214	0.7541497397483942
611.0	0.7	1.1180101235999973	0.8439293231510215
2012.0	0.67	1.1084365398579499	0.8525639749108542
1034.0	0.64	1.0823838887178505	0.8100829833020484
1043.0	0.66	1.1013960445591244	0.9080006384493354
2558.0	0.68	1.1252534360443964	0.9416369156463396
2455.0	0.61	1.073670407419049	0.8698656024841105
221.0	0.64	1.1355101933836709	0.5594984693474462
2422.0	0.63	1.0461190761629575	0.9514026170641442
1509.0	0.65	1.0755276788435304	1.0473290370533552
1953.0	0.62	1.111105217525951	0.7038023001961952
1924.0	0.71	1.1012286717960984	0.6090245406950328
1590.0	0.67	1.0972399092866825	1.0184709298882428
1404.0	0.68	1.117669917928815	0.7329285799717971
1829.0	0.72	1.0537292697412446	0.8798426841285963
79.0	0.68	1.0586257732291329	0.7299289229758361
1340.0	0.69	1.0850213179310768	0.6039101015413807
97.0	0.66	1.0441992857583746	0.9773980948801874
1337.0	0.68	1.1708270206336995	0.8384740463910386
468.0	0.69	1.0858085175040937	1.0092209243126946
512.0	0.65	1.048859872025526	0.9281545720433863
2311.0	0.69	1.0955895551369854	1.0324474405357122
486.0	0.71	1.1480520944170223	1.198134937882882
2285.0	0.61	1.0748555289926065	0.9887177677542014
948.0	0.65	1.096691751726409	0.5713222822379908
1707.0	0.64	1.0457216267106306	0.7000773317881661
1693.0	0.66	1.0929526984561457	0.8934686453872681
122.0	0.68	1.0957287802826512	1.0967396618751177
155.0	0.65	1.0381358866122563	1.0179345615372033
1600.0	0.6	1.0318319316471782	0.7271471212701
1677.0	0.63	0.9967294639339114	0.7390694398720932
1699.0	0.67	1.1004455200907992	0.8771304816924151
2626.0	0.69	1.0863357342780715	0.892117381491977
128.0	0.66	1.1102242795288535	0.6040005428185901
1230.0	0.7	1.1083942188950602	0.8735440350728985
1247.0	0.66	1.0591930179625553	0.8904486919242827
73.0	0.7	1.0822147979472179	0.7927451484624465
2261.0	0.73	1.1547002126713624	0.8080839500571969
462.0	0.73	1.1264508930463522	0.9976393074403929
1.0	0.64	1.1296336876293631	0.584298363344816
415.0	0.73	1.1305019625326118	0.9255672014981409
2216.0	0.73	1.0942854662620074	0.9268372811108482
935.0	0.66	1.063266555927229	0.9980044764182223
518.0	0.67	1.0744474393585608	0.7754767774318807
942.0	0.67	1.112319858379843	0.9260409848043999
1062.0	0.66	1.0685438492708985	0.884671510444237
1015.0	0.62	1.0670003528440626	0.9426116428468518
1118.0	0.65	1.055510337560471	0.7486750933162227
2033.0	0.71	1.1172973429556738	0.7467628884729608
630.0	0.66	1.1235731423884179	1.076507508518338
647.0	0.68	1.0654854160566674	0.8900355901302509
2149.0	0.7	1.0740681357587953	1.0268065545658114
1808.0	0.68	1.0444831246358957	0.9101697352369391
1425.0	0.59	1.1078895688332184	0.6363097275142041
1891.0	0.67	1.0996982285749657	0.5916990609381757
1905.0	0.68	1.0413872939385427	0.8605433085760886
1972.0	0.64	1.0661902770661842	0.7639403850505281
1528.0	0.65	1.0120397891149815	0.716064896795797
2597.0	0.66	1.0666217088735608	0.921067693101892
394.0	0.7	1.0703181809121993	0.8618348962028886
2403.0	0.63	1.0868986013965554	0.8076901252988952
200.0	0.63	1.1506516436508254	0.7720122063988779
2474.0	0.68	1.142364367086447	0.5914781554572871
2579.0	0.66	1.0845069352722447	0.8404140019156983
1875.0	0.71	1.0619883486197599	0.8790763564283056
1802.0	0.66	1.0907614311908682	0.9545321277731147
1996.0	0.62	1.063146365984114	0.7864106293890876
1978.0	0.64	1.0899505617849905	0.7600432101717549
1522.0	0.67	1.0917434954382106	0.9418042405663423
1555.0	0.65	1.0959510614289396	0.7399711236705572
2409.0	0.68	1.0362911259280072	0.9201653635756105
370.0	0.63	1.0714540732380227	0.701001588246145
2573.0	0.67	1.0875211721468334	0.5473091741468454
2504.0	0.62	1.161298266258572	0.6459161262245288
307.0	0.65	1.1242122994972528	0.9071979312734416
2490.0	0.73	1.1285326437105003	0.7408022414704301
1068.0	0.68	1.1300803906725256	0.9488421743610919
1112.0	0.69	1.1600331890399755	0.7272827752319893
1086.0	0.71	1.0626921155009206	0.8081291573190325
2039.0	0.65	1.1166221339304268	1.0156987051366766
740.0	0.64	1.0903267232078742	0.7931646078971935
2143.0	0.65	1.065088917274382	0.665595629414738
2134.0	0.65	1.1323926807576374	0.8238845705705609
737.0	0.69	1.1847679312996333	0.888569315192966
109.0	0.66	1.0899636186505968	0.7480622844925268
190.0	0.64	1.0346191571639192	0.8715418103911254
2607.0	0.62	1.0935337268790806	0.9015412769602983
1656.0	0.69	1.0286337751410677	0.785437931399654
1621.0	0.71	1.0494107856216053	1.008237285220284
963.0	0.7	1.091786664545913	0.6546007407666599
914.0	0.66	1.088426590955619	0.6908299204038038
2237.0	0.7	1.0915120717064832	1.1249983998314832
434.0	0.68	1.1194035020866109	0.877361187321249
443.0	0.68	1.1095136936276506	0.8526720310518507
2240.0	0.68	1.0682398918193114	0.8381391678165706
1288.0	0.66	1.1180703284372426	0.9067218119553618
1266.0	0.7	1.0877737002688084	0.9358783945159562
52.0	0.65	1.0462635534952371	1.025335248028663
1385.0	0.67	1.1101675991185098	0.8453147326701678
1211.0	0.67	1.0818928720224084	1.2183556823986814
25.0	0.68	1.0947626671888795	0.7615278407702494
969.0	0.68	1.0877081377227418	0.8088979199697622
2330.0	0.62	1.098073846412229	0.8411725948766358
533.0	0.68	1.0754737852032543	0.9069912797855604
813.0	0.64	1.0560069021087704	0.894869303120532
449.0	0.68	1.0452742655418776	1.0056352482908597
987.0	0.75	1.108572189115415	0.9439362785315824
1316.0	0.7	1.1211341583892545	1.0635218024010642
1282.0	0.69	1.1812248633964495	0.5885644795491569
1361.0	0.66	1.1285177792378567	0.5215353790366801
58.0	0.66	1.0998815996078828	0.916635922058863
174.0	0.66	1.0649626304602395	0.8768997438052477
103.0	0.67	1.1426311472564095	0.9880072427561574
1726.0	0.72	1.0456885973139691	1.2204159304925102
